symbol,yahoo_ticker,company_name,gics_sector,sector
EBAY,EBAY,eBay Inc.,Consumer Discretionary,استهلاكي
SATS,SATS,EchoStar,Communication Services,تكنولوجيا
ECL,ECL,Ecolab,Materials,تصنيع
EIX,EIX,Edison International,Utilities,تصنيع
EW,EW,Edwards Lifesciences,Health Care,استهلاكي
EA,EA,Electronic Arts,Communication Services,تكنولوجيا
ELV,ELV,Elevance Health,Health Care,استهلاكي
EME,EME,Emcor,Industrials,تصنيع
EMR,EMR,Emerson Electric,Industrials,تصنيع
ETR,ETR,Entergy,Utilities,تصنيع
EOG,EOG,EOG Resources,Energy,تصنيع
EPAM,EPAM,EPAM Systems,Information Technology,تكنولوجيا
EQT,EQT,EQT Corporation,Energy,تصنيع
EFX,EFX,Equifax,Industrials,تصنيع
EQIX,EQIX,Equinix,Real Estate,عقاري
EQR,EQR,Equity Residential,Real Estate,عقاري
ERIE,ERIE,Erie Indemnity,Financials,مالي غير مصرفي
ESS,ESS,Essex Property Trust,Real Estate,عقاري
EL,EL,Estee Lauder Companies (The),Consumer Staples,استهلاكي
EG,EG,Everest Group,Financials,مالي غير مصرفي
EVRG,EVRG,Evergy,Utilities,تصنيع
ES,ES,Eversource Energy,Utilities,تصنيع
EXC,EXC,Exelon,Utilities,تصنيع
EXE,EXE,Expand Energy,Energy,تصنيع
EXPE,EXPE,Expedia Group,Consumer Discretionary,استهلاكي
EXPD,EXPD,Expeditors International,Industrials,تصنيع
EXR,EXR,Extra Space Storage,Real Estate,عقاري
XOM,XOM,ExxonMobil,Energy,تصنيع
FFIV,FFIV,"F5, Inc.",Information Technology,تكنولوجيا
FDS,FDS,FactSet,Financials,مالي غير مصرفي
FICO,FICO,Fair Isaac,Information Technology,تكنولوجيا
FAST,FAST,Fastenal,Industrials,تصنيع
FRT,FRT,Federal Realty Investment Trust,Real Estate,عقاري
FDX,FDX,FedEx,Industrials,تصنيع
FIS,FIS,Fidelity National Information Services,Financials,مالي غير مصرفي
FITB,FITB,Fifth Third Bancorp,Financials,بنوك
FSLR,FSLR,First Solar,Information Technology,تكنولوجيا
FE,FE,FirstEnergy,Utilities,تصنيع
FISV,FISV,Fiserv,Financials,مالي غير مصرفي
F,F,Ford Motor Company,Consumer Discretionary,استهلاكي
FTNT,FTNT,Fortinet,Information Technology,تكنولوجيا
