symbol,yahoo_ticker,company_name,gics_sector,sector
MSFT,MSFT,Microsoft,Information Technology,تكنولوجيا
MAA,MAA,Mid-America Apartment Communities,Real Estate,عقاري
MRNA,MRNA,Moderna,Health Care,استهلاكي
TAP,TAP,Molson Coors Beverage Company,Consumer Staples,استهلاكي
MDLZ,MDLZ,Mondelez International,Consumer Staples,استهلاكي
MPWR,MPWR,Monolithic Power Systems,Information Technology,تكنولوجيا
MNST,MNST,Monster Beverage,Consumer Staples,استهلاكي
MCO,MCO,Moody's Corporation,Financials,مالي غير مصرفي
MS,MS,Morgan Stanley,Financials,بنوك
MOS,MOS,Mosaic Company (The),Materials,تصنيع
MSI,MSI,Motorola Solutions,Information Technology,تكنولوجيا
MSCI,MSCI,MSCI Inc.,Financials,مالي غير مصرفي
NDAQ,NDAQ,"Nasdaq, Inc.",Financials,مالي غير مصرفي
NTAP,NTAP,NetApp,Information Technology,تكنولوجيا
NFLX,NFLX,Netflix,Communication Services,تكنولوجيا
NEM,NEM,Newmont,Materials,تصنيع
NWSA,NWSA,News Corp (Class A),Communication Services,تكنولوجيا
NWS,NWS,News Corp (Class B),Communication Services,تكنولوجيا
NEE,NEE,NextEra Energy,Utilities,تصنيع
NKE,NKE,"Nike, Inc.",Consumer Discretionary,استهلاكي
NI,NI,NiSource,Utilities,تصنيع
NDSN,NDSN,Nordson Corporation,Industrials,تصنيع
NSC,NSC,Norfolk Southern,Industrials,تصنيع
NTRS,NTRS,Northern Trust,Financials,بنوك
NOC,NOC,Northrop Grumman,Industrials,تصنيع
NCLH,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,استهلاكي
NRG,NRG,NRG Energy,Utilities,تصنيع
NUE,NUE,Nucor,Materials,تصنيع
NVDA,NVDA,Nvidia,Information Technology,تكنولوجيا
NVR,NVR,"NVR, Inc.",Consumer Discretionary,استهلاكي
NXPI,NXPI,NXP Semiconductors,Information Technology,تكنولوجيا
ORLY,ORLY,O'Reilly Automotive,Consumer Discretionary,استهلاكي
OXY,OXY,Occidental Petroleum,Energy,تصنيع
ODFL,ODFL,Old Dominion,Industrials,تصنيع
OMC,OMC,Omnicom Group,Communication Services,تكنولوجيا
ON,ON,ON Semiconductor,Information Technology,تكنولوجيا
OKE,OKE,Oneok,Energy,تصنيع
ORCL,ORCL,Oracle Corporation,Information Technology,تكنولوجيا
OTIS,OTIS,Otis Worldwide,Industrials,تصنيع
PCAR,PCAR,Paccar,Industrials,تصنيع
PKG,PKG,Packaging Corporation of America,Materials,تصنيع
PLTR,PLTR,Palantir Technologies,Information Technology,تكنولوجيا
PANW,PANW,Palo Alto Networks,Information Technology,تكنولوجيا
PSKY,PSKY,Paramount Skydance Corporation,Communication Services,تكنولوجيا
PH,PH,Parker Hannifin,Industrials,تصنيع
PAYX,PAYX,Paychex,Industrials,تصنيع
PYPL,PYPL,PayPal,Financials,مالي غير مصرفي
PNR,PNR,Pentair,Industrials,تصنيع
PEP,PEP,PepsiCo,Consumer Staples,استهلاكي
PFE,PFE,Pfizer,Health Care,استهلاكي
PCG,PCG,PG&E Corporation,Utilities,تصنيع
PM,PM,Philip Morris International,Consumer Staples,استهلاكي
PSX,PSX,Phillips 66,Energy,تصنيع
PNW,PNW,Pinnacle West Capital,Utilities,تصنيع
PNC,PNC,PNC Financial Services,Financials,بنوك
POOL,POOL,Pool Corporation,Consumer Discretionary,استهلاكي
PPG,PPG,PPG Industries,Materials,تصنيع
PPL,PPL,PPL Corporation,Utilities,تصنيع
PFG,PFG,Principal Financial Group,Financials,مالي غير مصرفي
PG,PG,Procter & Gamble,Consumer Staples,استهلاكي
