symbol,yahoo_ticker,company_name,sector
NMDC,NMDC.AE,NMDC Group PJSC,تصنيع
AMR,AMR.AE,Americana Restaurants International PLC,استهلاكي
AGILITY,AGILITY.AE,Agility Global PLC,تصنيع
NMDCENR,NMDCENR.AE,NMDC Energy - P.J.S.C.,تصنيع
NBF,NBF.AE,National Bank of Fujairah PJSC,بنوك
APEX,APEX.AE,Apex Investment PSC,مالي غير مصرفي
LULU,LULU.AE,Lulu Retail Holdings PLC,استهلاكي
SIB,SIB.AE,Sharjah Islamic Bank PJSC,بنوك
SPACE42,SPACE42.AE,Space42 PLC,تكنولوجيا
EMSTEEL,EMSTEEL.AE,EMSTEEL Building Materials PJSC,تصنيع
INB,INB.AE,Invest bank P.S.C.,بنوك
ALEFEDT,ALEFEDT.AE,Alef Education Holding plc,استهلاكي
DANA,DANA.AE,Dana Gas PJSC,تصنيع
NBQ,NBQ.AE,National Bank of Umm Al-Qaiwain,بنوك
BURJEEL,BURJEEL.AE,Burjeel Holdings PLC,استهلاكي
ADAVIATION,ADAVIATION.AE,Abu Dhabi Aviation Co.,تصنيع
ADNH,ADNH.AE,Abu Dhabi National Hotels Company PJSC,استهلاكي
UAB,UAB.AE,United Arab Bank P.J.S.C.,بنوك
ADNIC,ADNIC.AE,Abu Dhabi National Insurance Company PJSC,مالي غير مصرفي
PHX,PHX.AE,Phoenix Group Plc,تصنيع
EMOBILITY,EMOBILITY.AE,Emirates Mobility Company P.J.S.C.,تصنيع
BOS,BOS.AE,Bank Of Sharjah P.J.S.C.,بنوك
WAHA,WAHA.AE,Al Waha Capital PJSC,مالي غير مصرفي
ICAP,ICAP.AE,Investcorp Capital plc,مالي غير مصرفي
ANAN,ANAN.AE,Anan Investment Holding PJSC,مالي غير مصرفي
NCTH,NCTH.AE,National Corporation for Tourism and Hotels,استهلاكي
RAKPROP,RAKPROP.AE,RAK Properties PJSC,عقاري
ESG,ESG.AE,ESG Emirates Stallions Group PJSC,تصنيع
SAGA,SAGA.AE,Sagasse Investment Company Plc,مالي غير مصرفي
AGTHIA,AGTHIA.AE,Agthia Group PJSC,استهلاكي
BILDCO,BILDCO.AE,Abu Dhabi National Company for Building Materials PJSC,تصنيع
GHITHA,GHITHA.AE,Ghitha Holding P.J.S.C,استهلاكي
GIH,GIH.AE,Gulf Investment House,مالي غير مصرفي
RAKCEC,RAKCEC.AE,R.A.K. Ceramics P.J.S.C.,تصنيع
ASM,ASM.AE,Al Seer Marine Supplies and Equipment Company PJSC,تصنيع
MAIR,MAIR.AE,MAIR Group - P.J.S.C.,استهلاكي
E7,E7.AE,E7 Group PJSC,تكنولوجيا
INVICTUS,INVICTUS.AE,Invictus Investment Company PLC,مالي غير مصرفي
ADSB,ADSB.AE,Abu Dhabi Ship Building PJSC,تصنيع
GMPC,GMPC.AE,Gulf Medical Projects Company (PJSC),استهلاكي
CBI,CBI.AE,Commercial Bank International P.J.S.C.,بنوك
ADNHC,ADNHC.AE,ADNH Catering PLC,استهلاكي
ALPHADATA,ALPHADATA.AE,Alpha Data PJSC,تكنولوجيا
ESHRAQ,ESHRAQ.AE,Eshraq Investments PJSC,عقاري
